,SL NO,NEWSPAPER NAME,LANGUAGE,PERIODICITY,PUBLICATION CITY,COMMITMENT AMOUNT,Unnamed: 0,Unnamed: 1
42,1789.0,SALAR,URDU,DAILY(M),BENGALURU,"430,223","468,431","336,225"
43,1790.0,SAMYUKTA KARNATAKA,KANNADA,DAILY(M),BENGALURU,"454,823","255,865","95,808"
44,1791.0,THANTHI,TAMIL,DAILY(M),BENGALURU,"268,709","300,566","103,317"
45,1792.0,THE ECONOMIC TIMES,ENGLISH,DAILY(M),BENGALURU,"3,684,399","1,583,529","344,344"
46,1793.0,THE HINDU,ENGLISH,DAILY(M),BENGALURU,"11,122,140","3,477,307","274,749"
47,1794.0,THE HINDU BUSINESS LINE,ENGLISH,DAILY EXCEPTSUNDAY,BENGALURU,"1,592,201","264,104",0
48,1795.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),BENGALURU,"2,569,282","1,318,135","1,023,550"
49,1796.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),BENGALURU,"25,160,016","20,109,901","6,036,942"
50,1797.0,UDAYAVANI,KANNADA,DAILY(M),BENGALURU,"2,945,261","1,916,292","910,377"
51,1798.0,VAARTHA BHARATHI,KANNADA,DAILY(M),BENGALURU,"1,551,039","1,199,453","420,899"
52,1799.0,VIDHI KARNATAKA,KANNADA,DAILY(M),BENGALURU,"22,535","78,519","35,039"
53,1800.0,VIJAY KARNATAKA,KANNADA,DAILY(M),BENGALURU,"28,503,754","15,596,478","6,918,407"
54,1801.0,VIJAYAVANI,KANNADA,DAILY(M),BENGALURU,"22,722,003","11,528,745","3,082,683"
55,1802.0,MISSILE EXPRESS,URDU,DAILY(M),BIDAR,"413,104","300,349","98,716"
56,1803.0,VIJAYAVANI,KANNADA,DAILY(M),BIJAPUR,"1,145,236","912,860","581,593"
57,1804.0,VIJAY KARNATAKA(CHITRADURGA),KANNADA,DAILY(M),CHITRADURGA,"531,145","204,529","224,894"
58,1805.0,VIJAYAVANI,KANNADA,DAILY(M),CHITRADURGA,"1,039,239","848,884","292,038"
59,1806.0,DECCAN HERALD,ENGLISH,DAILY(M),DAVANGERE,"188,140","213,402","126,408"
60,1807.0,PRAJAVANI,KANNADA,DAILY(M),DAVANGERE,"1,220,728","884,568","333,908"
0,1809.0,COMPETITION VISION,ENGLISH,MONTHLY,DHARWAD,0,"10,537",0
1,1810.0,STUDY PLANNER,KANNADA,MONTHLY,DHARWAD,0,"3,066",0
2,1811.0,KITTUR KARNATAKA,KANNADA,DAILY(M),GADAG,"6,549",0,0
3,1812.0,NAVODAYA,KANNADA,DAILY(M),GADAG,"684,686","693,918","285,944"
4,1813.0,VIJAY KARNATAKA,KANNADA,DAILY(M),GANGAVATI,"576,866","478,300","69,028"
5,1814.0,VIJAYAVANI,KANNADA,DAILY(M),GANGAVATI,"675,414","595,751","268,624"
6,1815.0,VIJAY KARNATAKA,KANNADA,DAILY(M),HASSAN,"606,118","343,206","213,058"
7,1816.0,DECCAN HERALD,ENGLISH,DAILY(M),HOSPET,0,"186,945","48,314"
8,1817.0,PRAJAVANI,KANNADA,DAILY(M),HOSPET,0,"346,925","165,896"
9,1818.0,DECCAN HERALD,ENGLISH,DAILY(M),HUBBALLI,"492,416","487,261","110,654"
10,1819.0,KANNADA PRABHA,KANNADA,DAILY(M),HUBBALLI,"742,117","384,868","86,326"
11,1820.0,PRAJAVANI,KANNADA,DAILY(M),HUBBALLI,"2,116,227","1,398,724","499,592"
12,1821.0,SALAR,URDU,DAILY(M),HUBBALLI,0,"623,041",0
13,1822.0,SAMYUKTA KARNATAKA,KANNADA,DAILY(M),HUBBALLI,"3,932,058","719,269","516,598"
14,1823.0,THE HINDU,ENGLISH,DAILY(M),HUBBALLI,"589,690","290,180","50,253"
15,1824.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),HUBBALLI,"105,087","209,697","101,619"
16,1825.0,UDAYAVANI,KANNADA,DAILY(M),HUBBALLI,"406,930","653,922","100,127"
17,1826.0,VIJAY KARNATAKA,KANNADA,DAILY(M),HUBBALLI,"1,815,899","2,116,889","738,245"
18,1827.0,VIJAYAVANI,KANNADA,DAILY(M),HUBBALLI,"4,043,504","2,708,314","1,031,096"
19,1828.0,UDAYAVANI,KANNADA,DAILY(M),KALABURAGI,0,0,"12,855"
20,1829.0,DECCAN HERALD,ENGLISH,DAILY(M),KALABURGI,"370,093","279,463","89,769"
21,1830.0,KANNADA PRABHA,KANNADA,DAILY(M),KALABURGI,"649,405","240,155","81,208"
22,1831.0,KBN TIMES,URDU,DAILY(M),KALABURGI,"74,321","58,940","17,538"
23,1832.0,PRAJAVANI,KANNADA,DAILY(M),KALABURGI,"1,016,248","886,396","137,514"
24,1833.0,SAMYUKTA KARNATAKA,KANNADA,DAILY(M),KALABURGI,"412,679","201,131","88,648"
25,1834.0,VIJAY KARNATAKA,KANNADA,DAILY(M),KALABURGI,"1,205,584","1,125,842","470,960"
26,1835.0,VIJAYAVANI,KANNADA,DAILY(M),KALABURGI,"1,490,666","1,396,304","614,660"
27,1836.0,KANNADA JANANTARANGA,KANNADA,DAILY(E),KUMTA,"113,187","23,904",0
28,1837.0,DECCAN HERALD,ENGLISH,DAILY(M),MANGALURU,"450,923","363,210","92,227"
29,1838.0,HOSA DIGANTHA,KANNADA,DAILY(M),MANGALURU,"2,027,082","616,447","265,473"
30,1839.0,KANNADA PRABHA,KANNADA,DAILY(M),MANGALURU,"356,753","361,837","136,827"
31,1840.0,PRAJAVANI,KANNADA,DAILY(M),MANGALURU,"964,596","581,842","120,342"
32,1841.0,THE HINDU,ENGLISH,DAILY(M),MANGALURU,"799,138","427,949","50,253"
33,1842.0,THE HINDU BUSINESS LINE,ENGLISH,DAILY EXCEPTSUNDAY,MANGALURU,"1,044,197","149,754",0
34,1843.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),MANGALURU,"104,129","145,050","113,720"
35,1844.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),MANGALURU,"780,361","663,767","151,042"
36,1845.0,VAARTHA BHARTI,KANNADA,DAILY(M),MANGALURU,"7,362,224","4,675,160","2,391,104"
37,1846.0,VIJAY KARNATAKA,KANNADA,DAILY(M),MANGALURU,"3,003,876","1,213,922","343,969"
38,1847.0,VIJAYAVANI,KANNADA,DAILY(M),MANGALURU,"1,343,571","782,585","419,686"
39,1848.0,ROOPATHARA,KANNADA,MONTHLY,MANIPAL,0,"134,480","40,170"
40,1849.0,TARANGA,KANNADA,WEEKLY,MANIPAL,"150,282","203,254","105,037"
41,1850.0,UDAYAVANI,KANNADA,DAILY(M),MANIPAL,"13,289,679","6,151,411","3,949,603"
42,1851.0,DECCAN HERALD,ENGLISH,DAILY(M),MYSURU,"686,253","373,690","114,031"
43,1852.0,MYSORE MITHRA,KANNADA,DAILY(M),MYSURU,"3,371,901","1,796,578","776,495"
44,1853.0,PRAJAVANI,KANNADA,DAILY(M),MYSURU,"1,960,187","1,300,764","505,363"
45,1854.0,STAR OF MYSORE,ENGLISH,DAILY(E),MYSURU,"1,388,118","972,579","577,574"
46,1855.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),MYSURU,"755,722","583,367","197,509"
47,1856.0,VIJAY KARNATAKA,KANNADA,DAILY(M),MYSURU,"2,091,738","1,448,975","543,351"
48,1857.0,VIJAYAVANI,KANNADA,DAILY(M),MYSURU,"4,041,118","1,776,982","449,831"
49,1858.0,JANA KOOGU,KANNADA,DAILY(M),RAICHUR,0,"21,909","20,133"
50,1859.0,SUDDIMOOLA,KANNADA,DAILY(M),RAICHUR,0,"22,758","23,175"
51,1860.0,HOSADIGANTHA,KANNADA,DAILY(M),SHIVAMOGGA,"807,838","607,569","193,124"
52,1861.0,KANNADA PRABHA,KANNADA,DAILY(M),SHIVAMOGGA,"822,602","589,623","110,245"
53,1862.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),SHIVAMOGGA,"321,114","157,444","102,381"
54,1863.0,VIJAY KARNATAKA,KANNADA,DAILY(M),SHIVAMOGGA,"1,448,571","608,774","332,453"
55,1864.0,VIJAYAVANI,KANNADA,DAILY(M),SHIVAMOGGA,"587,184","566,262","306,967"
56,1865.0,KERALA KAUMUDI,MALAYALAM,DAILY(M),ALAPPUZHA,0,"661,658","446,633"
57,1866.0,MALAYALA MANORAMA,MALAYALAM,DAILY(M),ALAPPUZHA,"3,233,612","2,191,256","1,304,105"
58,1867.0,MATHRUBHUMI,MALAYALAM,DAILY(M),ALAPPUZHA,"1,214,245","2,198,260","515,138"
59,1868.0,DEEPIKA,MALAYALAM,DAILY(M),KANNUR,"1,727,306","1,247,427","237,243"
60,1869.0,DESHABHIMANI,MALAYALAM,DAILY(M),KANNUR,"6,783,037","3,892,833","2,217,266"
61,1870.0,JANMABHUMI,MALAYALAM,DAILY(M),KANNUR,"1,269,961","1,694,696","467,301"
62,1871.0,KERALA KAUMUDI,MALAYALAM,DAILY(M),KANNUR,"390,411","499,723","90,729"
63,1872.0,MADHYAMAM,MALAYALAM,DAILY(M),KANNUR,"437,675","369,605","118,257"
64,1873.0,MALAYALA MANORAMA,MALAYALAM,DAILY(M),KANNUR,"1,537,933","2,571,425","1,227,705"
0,1875.0,RASHTRA DEEPIKA,MALAYALAM,DAILY(E),KANNUR,"30,004","320,880","9,413"
1,1876.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),KANNUR,"54,667","182,644","123,124"
2,1877.0,BUSINESS STANDARD,ENGLISH,DAILY EXCEPTSUNDAY,KOCHI,"960,567","349,983","92,268"
3,1878.0,CHANDRIKA,MALAYALAM,DAILY(M),KOCHI,"76,487","1,382,839","586,305"
4,1879.0,DECCAN CHRONICLE,ENGLISH,DAILY(M),KOCHI,"493,054","578,675","197,147"
5,1880.0,DEEPIKA,MALAYALAM,DAILY(M),KOCHI,"786,514","624,005","174,506"
6,1881.0,DESHABHIMANI,MALAYALAM,DAILY(M),KOCHI,"1,269,880","2,002,640","1,182,960"
7,1882.0,JANMABHUMI,MALAYALAM,DAILY(M),KOCHI,"2,245,242","1,487,769","402,495"
8,1883.0,KERALA KAUMUDI,MALAYALAM,DAILY(M),KOCHI,"452,088","362,956","114,309"
9,1884.0,MADHYAMAM,MALAYALAM,DAILY(M),KOCHI,"429,266","507,439","117,870"
10,1885.0,MALAYALA MANORAMA,MALAYALAM,DAILY(M),KOCHI,"18,044,554","15,501,933","6,288,403"
11,1886.0,MANGALAM,MALAYALAM,DAILY(M),KOCHI,0,"595,555","463,150"
12,1887.0,MATHRUBHUMI,MALAYALAM,DAILY(M),KOCHI,"7,310,707","4,154,872","2,109,020"
13,1888.0,METRO VAARTHA,MALAYALAM,DAILY(M),KOCHI,"1,938,328","1,005,571","200,783"
14,1889.0,RASHTRA DEEPIKA,MALAYALAM,DAILY(E),KOCHI,"508,686","285,009","11,216"
15,1890.0,THE HINDU,ENGLISH,DAILY(M),KOCHI,"4,056,445","2,310,549","179,190"
16,1891.0,THE HINDU BUSINESS LINE,ENGLISH,DAILY EXCEPTSUNDAY,KOCHI,"499,468","307,856",0
17,1892.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),KOCHI,"1,291,081","943,692","713,517"
18,1893.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),KOCHI,"901,401","1,249,325","371,747"
19,1894.0,VEEKSHANAM,MALAYALAM,DAILY(M),KOCHI,0,"726,267","67,192"
20,1895.0,KERALA KAUMUDI,MALAYALAM,DAILY(M),KOLLAM,"17,056","323,275","200,381"
21,1896.0,MALAYALA MANORAMA,MALAYALAM,DAILY(M),KOLLAM,"2,601,263","2,660,960","1,190,245"
22,1897.0,MATHRUBHUMI,MALAYALAM,DAILY(M),KOLLAM,"971,844","1,814,108","650,342"
23,1898.0,RASHTRA DEEPIKA,MALAYALAM,DAILY(E),KOLLAM,"520,160","329,308","90,355"
24,1899.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),KOLLAM,"49,189","230,928","124,375"
25,1900.0,AROGYA MANGALAM,MALAYALAM,MONTHLY,KOTTAYAM,"49,782","32,382",0
26,1901.0,BUSINESS DEEPIKA,MALAYALAM,WEEKLY,KOTTAYAM,0,"19,952","10,393"
27,1902.0,CINEMA MANGALAM,MALAYALAM,WEEKLY,KOTTAYAM,0,"38,476","23,369"
28,1903.0,DEEPIKA,MALAYALAM,DAILY(M),KOTTAYAM,"1,480,188","1,254,559","389,900"
29,1904.0,DESHABHIMANI,MALAYALAM,DAILY(M),KOTTAYAM,"732,201","1,032,511","630,181"
30,1905.0,JANMABHUMI,MALAYALAM,DAILY(M),KOTTAYAM,"1,637,761","968,947",0
31,1906.0,KANYAKA,MALAYALAM,FORTNIGHTLY,KOTTAYAM,0,"29,838",0
32,1907.0,KARSHAKAN,MALAYALAM,MONTHLY,KOTTAYAM,0,"94,053","42,842"
33,1908.0,KERALA KAUMUDI,MALAYALAM,DAILY(M),KOTTAYAM,"47,182","256,700","97,914"
34,1909.0,MADHYAMAM,MALAYALAM,DAILY(M),KOTTAYAM,"292,826","120,372","71,467"
35,1910.0,MALAYALA MANORAMA,MALAYALAM,WEEKLY,KOTTAYAM,"531,090","1,521,016","339,097"
36,1911.0,MALAYALA MANORAMA,MALAYALAM,DAILY(M),KOTTAYAM,"12,179,970","5,832,255","2,460,899"
37,1912.0,MANGALA,KANNADA,WEEKLY,KOTTAYAM,"18,256","38,780","10,393"
38,1913.0,MANGALAM,MALAYALAM,DAILY(M),KOTTAYAM,"100,831","907,002","620,566"
39,1914.0,MATHRUBHUMI,MALAYALAM,DAILY(M),KOTTAYAM,"3,877,985","2,480,365","1,109,764"
40,1915.0,RASHTRA D.CHILDREN DIGEST,ENGLISH,MONTHLY,KOTTAYAM,0,"37,011","19,278"
41,1916.0,RASHTRA DEEPIKA,MALAYALAM,DAILY(E),KOTTAYAM,"417,712","511,461","32,960"
42,1917.0,RASHTRA DEEPIKA CINEMA,MALAYALAM,WEEKLY,KOTTAYAM,0,"124,406","45,491"
43,1918.0,STHREEDHANAM,MALAYALAM,MONTHLY,KOTTAYAM,0,"49,186","16,794"
44,1919.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),KOTTAYAM,"92,524","265,798","212,104"
45,1920.0,VANITHA,HINDI,MONTHLY,KOTTAYAM,"408,374","399,361","66,440"
46,1921.0,BALABHUMI,MALAYALAM,WEEKLY,KOZHIKODE,0,"89,804","35,327"
47,1922.0,DECCAN CHRONICLE,ENGLISH,DAILY(M),KOZHIKODE,"382,675","328,340","64,716"
48,1923.0,DEEPIKA,MALAYALAM,DAILY(M),KOZHIKODE,"462,699","712,690","63,675"
49,1924.0,DESHABHIMANI,MALAYALAM,DAILY(M),KOZHIKODE,"1,600,933","1,021,717","591,374"
50,1925.0,GRIHALAKSHMI,MALAYALAM,FORTNIGHTLY,KOZHIKODE,"255,309","286,442","91,406"
51,1926.0,JANMA BHUMI,MALAYALAM,DAILY(M),KOZHIKODE,"1,086,473","753,951","308,584"
52,1927.0,KERALA KAUMUDI,MALAYALAM,DAILY(M),KOZHIKODE,"625,732","509,375","110,989"
53,1928.0,KESARI,MALAYALAM,WEEKLY,KOZHIKODE,0,"106,909","58,009"
54,1929.0,MALAYALA MANORAMA,MALAYALAM,DAILY(M),KOZHIKODE,"3,048,689","4,239,946","1,696,974"
55,1930.0,MANGALAM,MALAYALAM,DAILY(M),KOZHIKODE,"601,578","191,542","81,352"
56,1931.0,MATHROBHUMI THOZHILVARTA,MALAYALAM,WEEKLY,KOZHIKODE,"717,478","1,019,020","483,496"
57,1932.0,MATHRUBHUMI,MALAYALAM,DAILY(M),KOZHIKODE,"9,156,064","5,792,620","2,254,809"
58,1933.0,MATHRUBHUMI AROGYAMASIKA,MALAYALAM,MONTHLY,KOZHIKODE,"296,394","281,490","91,236"
59,1934.0,MATHRUBHUMICHITHRAKADHA,MALAYALAM,MONTHLY,KOZHIKODE,0,"12,506","6,514"
0,1936.0,MATHRUBHUMI STAR & STYLE,MALAYALAM,MONTHLY,KOZHIKODE,0,"23,997","7,184"
1,1937.0,METRO VAARTHA,MALAYALAM,DAILY(M),KOZHIKODE,"1,708,666","1,427,146","780,750"
2,1938.0,RASHTRA DEEPIKA,MALAYALAM,DAILY(E),KOZHIKODE,"59,823","258,744","57,322"
3,1939.0,SIRAJ,MALAYALAM,DAILY(M),KOZHIKODE,"318,609","3,669,978","1,063,443"
4,1940.0,THE HINDU,ENGLISH,DAILY(M),KOZHIKODE,"695,850","667,061","68,212"
5,1941.0,THE MATHRUBHUMIILLUSTRATED WEEKLY,MALAYALAM,WEEKLY,KOZHIKODE,0,"93,260","51,085"
6,1942.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),KOZHIKODE,"536,535","200,586","237,946"
7,1943.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),KOZHIKODE,"558,165","524,037","153,535"
8,1944.0,VEEKSHANAM,MALAYALAM,DAILY(M),KOZHIKODE,0,"89,656","99,580"
9,1945.0,DESHABHIMANI,MALAYALAM,DAILY(M),MALAPPURAM,"299,431","631,511","231,555"
10,1946.0,MADHYAMAM,MALAYALAM,DAILY(M),MALAPPURAM,"1,560,778","1,204,130","302,283"
11,1947.0,MALAYALA MANORAMA,MALAYALAM,DAILY(M),MALAPPURAM,"1,912,035","1,672,003","858,010"
12,1948.0,MATHRUBHUMI,MALAYALAM,DAILY(M),MALAPPURAM,"496,824","858,554","332,423"
13,1949.0,RASHTRA DEEPIKA,MALAYALAM,DAILY(E),MALAPPURAM,"278,000","350,694","9,413"
14,1950.0,MALAYALA MANORAMA,MALAYALAM,DAILY(M),PALAKKAD,"2,772,688","1,724,312","763,697"
15,1951.0,MATHRUBHUMI,MALAYALAM,DAILY(M),PALAKKAD,"1,279,095","1,301,400","522,645"
16,1952.0,MALAYALA MANORAMA,MALAYALAM,DAILY(M),PATHANAMTHITTA,"1,006,906","1,566,304","640,463"
17,1953.0,CHANDRIKA,MALAYALAM,DAILY(M),THIRUVANANTHAPURAM,"14,118","807,187","242,000"
18,1954.0,DECCAN CHRONICLE,ENGLISH,DAILY(M),THIRUVANANTHAPURAM,"729,668","465,756","123,837"
19,1955.0,DEEPIKA,MALAYALAM,DAILY(M),THIRUVANANTHAPURAM,"461,061","656,761","96,286"
20,1956.0,DESHABHIMANI,MALAYALAM,DAILY(M),THIRUVANANTHAPURAM,"783,807","1,768,562","282,785"
21,1957.0,JANAYUGOM,MALAYALAM,DAILY(M),THIRUVANANTHAPURAM,"32,245","314,628",0
22,1958.0,KALAKAUMUDI,MALAYALAM,WEEKLY,THIRUVANANTHAPURAM,0,"6,602",0
23,1959.0,KERALA KAUMUDI,MALAYALAM,DAILY(M),THIRUVANANTHAPURAM,0,"344,650","251,746"
24,1960.0,MADHYAMAM,MALAYALAM,DAILY(M),THIRUVANANTHAPURAM,"97,865","230,932","98,998"
25,1961.0,MALAYALA MANORAMA,MALAYALAM,DAILY(M),THIRUVANANTHAPURAM,"27,528,031","21,109,364","7,993,304"
26,1962.0,MANGALAM,MALAYALAM,DAILY(M),THIRUVANANTHAPURAM,"109,888","231,169","23,344"
27,1963.0,MATHRUBHUMI,MALAYALAM,DAILY(M),THIRUVANANTHAPURAM,"14,246,498","9,211,322","3,513,024"
28,1964.0,METRO VAARTHA,MALAYALAM,DAILY(M),THIRUVANANTHAPURAM,"1,201,446","1,011,629","1,213,643"
29,1965.0,RASHTRA DEEPIKA,MALAYALAM,DAILY(E),THIRUVANANTHAPURAM,"45,292","340,574","11,216"
30,1966.0,SIRAJ,MALAYALAM,DAILY(M),THIRUVANANTHAPURAM,0,"427,504","102,532"
31,1967.0,THE HINDU,ENGLISH,DAILY(M),THIRUVANANTHAPURAM,"7,153,608","3,318,312","170,950"
32,1968.0,THE HINDU BUSINESS LINE,ENGLISH,DAILY EXCEPTSUNDAY,THIRUVANANTHAPURAM,"347,533","194,750",0
33,1969.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),THIRUVANANTHAPURAM,"1,722,929","1,227,433","875,397"
34,1970.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),THIRUVANANTHAPURAM,"875,430","1,379,404","589,618"
35,1971.0,VEEKSHANAM,MALAYALAM,DAILY(M),THIRUVANANTHAPURAM,0,"282,723","83,167"
36,1972.0,DEEPIKA,MALAYALAM,DAILY(M),THRISSUR,"431,464","712,569","460,669"
37,1973.0,DESHABHIMANI,MALAYALAM,DAILY(M),THRISSUR,"896,675","1,425,482","377,406"
38,1974.0,GENERAL,MALAYALAM,DAILY(M),THRISSUR,0,"46,429",0
39,1975.0,JANMABHUMI,MALAYALAM,DAILY(M),THRISSUR,"20,303",0,0
40,1976.0,KERALA KAUMUDI,MALAYALAM,DAILY(M),THRISSUR,"363,190","591,097","212,774"
41,1977.0,MADHYAMAM,MALAYALAM,DAILY(M),THRISSUR,"150,773","114,048","138,454"
42,1978.0,MALAYALA MANORAMA,MALAYALAM,DAILY(M),THRISSUR,"2,713,741","2,827,646","1,276,305"
43,1979.0,MANGALAM,MALAYALAM,DAILY(M),THRISSUR,"326,671","509,709","116,905"
0,1981.0,METRO VAARTHA,MALAYALAM,DAILY(M),THRISSUR,"3,112,306","1,790,707","864,712"
1,1982.0,RASHTRA DEEPIKA,MALAYALAM,DAILY(E),THRISSUR,"280,504","342,893","11,216"
2,1983.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),THRISSUR,"92,922","146,709","125,634"
3,1984.0,BALAGHAT EXPRESS,HINDI,DAILY(M),BALAGHAT,"88,005","124,874","19,235"
4,1985.0,DIVYA EXPRESS,HINDI,DAILY(M),BALAGHAT,0,"56,690","4,541"
5,1986.0,JABALPUR EXPRESS,HINDI,DAILY(M),BALAGHAT,"2,514,546","1,583,890","491,433"
6,1987.0,AKBAR TIMES,HINDI,WEEKLY,BETUL,0,"7,786","4,865"
7,1988.0,RASHTRIYA JANADESH,HINDI,DAILY(M),BETUL,"23,906","33,242","10,089"
8,1989.0,TAPTI SAMNAVYA,HINDI,DAILY(M),BETUL,"12,584","22,701","6,143"
9,1990.0,AJAY BHARAT,HINDI,DAILY(M),BHIND,"419,741","505,345","195,957"
10,1991.0,CHAMBAL KI PRAGATI,HINDI,DAILY(M),BHIND,"48,521","20,182","4,541"
11,1992.0,SATTA SUDHAR,HINDI,DAILY(M),BHIND,"201,018","355,721","14,397"
12,1993.0,UDGAR,HINDI,DAILY(M),BHIND,"146,277","20,783","6,143"
13,1994.0,AAPKA NASEEB,HINDI,DAILY(M),BHOPAL,"21,418","53,399","9,413"
14,1995.0,ABHIVYAKTI EXPRESS,HINDI,DAILY(M),BHOPAL,0,0,"17,390"
15,1996.0,AFKAR,HINDI,DAILY(M),BHOPAL,"21,161","30,716","6,143"
16,1997.0,AGNIBAN,HINDI,DAILY(E),BHOPAL,"565,416","735,462","129,706"
17,1998.0,AGNIPATH,HINDI,DAILY(M),BHOPAL,"147,577","362,034","6,143"
18,1999.0,AJAYBHARAT,HINDI,DAILY(M),BHOPAL,"98,437","119,095","18,069"
19,2000.0,AKBAR TIMES,HINDI,WEEKLY,BHOPAL,0,"10,348","6,467"
20,2001.0,AKHAND SINDHU SANSAR,SINDHI,MONTHLY,BHOPAL,0,"9,963",0
21,2002.0,AKHBAR E MASHRIQ,URDU,DAILY(M),BHOPAL,"357,426","295,158","18,670"
22,2003.0,AKSH,HINDI,FORTNIGHTLY,BHOPAL,"9,905","14,966",0
23,2004.0,AKSHAR VISHV,HINDI,DAILY(M),BHOPAL,"17,455","28,870","18,069"
24,2005.0,ALANKAR,HINDI,DAILY(M),BHOPAL,"5,593","15,360","4,541"
25,2006.0,AMAR PRAVAKTA,HINDI,DAILY(M),BHOPAL,0,0,"6,143"
26,2007.0,AMRIT DARSHAN,HINDI,DAILY(E),BHOPAL,"19,815","52,690","21,816"
27,2008.0,ASHA PRAKASH,HINDI,WEEKLY,BHOPAL,0,"7,786",0
28,2009.0,ASMANJUS RATH,HINDI,DAILY EXCEPTSUNDAY,BHOPAL,0,"13,728","6,143"
29,2010.0,BALWAS TIMES,HINDI,DAILY(M),BHOPAL,0,"224,616","9,413"
30,2011.0,BHARAT KI TAKAT,HINDI,MONTHLY,BHOPAL,0,"6,755",0
31,2012.0,BHARAT MAT,HINDI,DAILY(E),BHOPAL,"92,175","47,273","9,413"
32,2013.0,BHARTIYA JAN VICHAR,HINDI,DAILY(M),BHOPAL,"328,767","58,051","7,796"
33,2014.0,BHARTIYA MANAVTA,HINDI,DAILY(M),BHOPAL,"85,275",0,0
34,2015.0,BHEL POWER,HINDI,MONTHLY,BHOPAL,0,"5,211","6,514"
35,2016.0,BHOO MANDAL GAATHA,HINDI,DAILY(M),BHOPAL,0,"26,376","7,796"
36,2017.0,BHOPAL CAVACH,HINDI,WEEKLY,BHOPAL,0,"6,496","6,467"
37,2018.0,BHOPAL HALCHAL,HINDI,DAILY(M),BHOPAL,"49,363","52,092","7,796"
38,2019.0,BHOPAL TODAY,HINDI,DAILY(M),BHOPAL,"9,933","33,873","6,143"
39,2020.0,BICHHUDOTCOM,HINDI,FORTNIGHTLY,BHOPAL,0,"18,694","7,330"
40,2021.0,BUSINESS STANDARD,HINDI,DAILY EXCEPTSUNDAY,BHOPAL,"774,203","279,867","60,999"
41,2022.0,CANON TIMES,HINDI,DAILY EXCEPTSUNDAY,BHOPAL,0,"15,360","6,143"
42,2023.0,CANON TIMES,HINDI,WEEKLY,BHOPAL,0,"10,348","6,467"
43,2024.0,CENTRAL CHRONICLE,ENGLISH,DAILY(M),BHOPAL,0,"49,188","332,371"
44,2025.0,CHALATI ANKHE,HINDI,DAILY(E),BHOPAL,0,"4,912","6,143"
45,2026.0,CHHAPA ABHIYAAN,HINDI,WEEKLY,BHOPAL,0,0,"6,467"
46,2027.0,CHRISTIAN ASSEMBLY,HINDI,FORTNIGHTLY,BHOPAL,0,"4,952","6,190"
47,2028.0,CINE PATKATHA,HINDI,MONTHLY,BHOPAL,0,"6,864",0
48,2029.0,CITY TODAY,HINDI,DAILY(M),BHOPAL,"78,588","194,534","11,216"
49,2030.0,CRIME LOOK,HINDI,MONTHLY,BHOPAL,0,"17,144",0
50,2031.0,DABANG DUNIA,HINDI,DAILY(M),BHOPAL,"9,959,462","2,772,195","885,863"
51,2032.0,DAINIK AVANTIKA,HINDI,DAILY(M),BHOPAL,"85,157","548,113","91,555"
52,2033.0,DAINIK BHASKAR,HINDI,DAILY(M),BHOPAL,"31,682,442","17,367,113","9,930,199"
53,2034.0,DAINIK CHAMBAL SURKHEE,HINDI,DAILY(M),BHOPAL,"13,906","26,793","6,143"
54,2035.0,DAINIK JAGRAN,HINDI,DAILY(M),BHOPAL,"15,157,598","10,517,720","4,753,414"
55,2036.0,DAINIK KIRTI KRANTI,HINDI,DAILY(M),BHOPAL,"17,970","35,621","9,413"
56,2037.0,DAINIK SANDHYA PRAKASH,HINDI,DAILY(E),BHOPAL,"299,071","154,321",0
57,2038.0,DB POST,ENGLISH,DAILY(M),BHOPAL,0,"51,923",0
58,2039.0,DESH BANDHU,HINDI,DAILY(M),BHOPAL,"382,289","117,527","135,667"
59,2040.0,DOPAHAR METRO,HINDI,DAILY(E),BHOPAL,0,"112,706","28,592"
60,2041.0,EXPRESS NEWS,HINDI,DAILY(M),BHOPAL,"687,881","122,225","9,413"
61,2042.0,FAJAR,HINDI,MONTHLY,BHOPAL,0,"13,728","6,514"
62,2043.0,FARZ,SINDHI,DAILY(M),BHOPAL,"138,304","171,210","7,796"
0,2045.0,FREE PRESS,ENGLISH,DAILY(M),BHOPAL,"635,932","267,175","82,676"
1,2046.0,GARBHANAAL PATRIKA,HINDI,MONTHLY,BHOPAL,0,"10,422",0
