,SL NO,NEWSPAPER NAME,LANGUAGE,PERIODICITY,PUBLICATION CITY,COMMITMENT AMOUNT,Unnamed: 0,Unnamed: 1
10,74.0,SAKSHI,TELUGU,DAILY(M),RAJAHMUNDRY,"927,861","1,321,979","317,902"
11,75.0,SAMCHALANA V.P. LEADER,TELUGU,DAILY(M),RAJAHMUNDRY,"51,567","383,138","284,302"
12,76.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),RAJAHMUNDRY,"108,280","439,408","244,825"
13,77.0,ANDHRA JYOTHI,TELUGU,DAILY(M),SRIKAKULAM,"406,154","462,795","192,177"
14,78.0,NETI ANDHRA,TELUGU,DAILY(M),SRIKAKULAM,"513,999","937,198","293,928"
15,79.0,PRAJASAKTI,TELUGU,DAILY(M),SRIKAKULAM,"17,040","140,470","118,734"
16,80.0,SAKSHI,TELUGU,DAILY(M),SRIKAKULAM,"539,115","864,535","198,320"
17,81.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),SRIKAKULAM,"15,218","27,680",0
18,82.0,ANDHRA JYOTHI,TELUGU,DAILY(M),TADEPALLIGUDEM,"132,962","420,003","107,834"
19,83.0,SAKSHI,TELUGU,DAILY(M),TADEPALLIGUDEM,"523,919","814,717","122,617"
20,84.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),TADEPALLIGUDEM,"70,009","268,061","16,816"
21,85.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),THADEPALLIGUDEM,"32,316","159,378","116,368"
22,86.0,ANDHRA JYOTHI,TELUGU,DAILY(M),TIRUPATI,"971,164","1,076,050","563,655"
23,87.0,ANDHRA PRABHA,TELUGU,DAILY(M),TIRUPATI,"489,735","1,610,742","178,160"
24,88.0,GLOBAL NEWS,TELUGU,DAILY(M),TIRUPATI,"34,626","38,772","27,825"
25,89.0,NEETI DINA PATRIKA SURYA,TELUGU,DAILY(M),TIRUPATI,0,"39,506","60,885"
26,90.0,NETI MANA DESAM,TELUGU,DAILY(M),TIRUPATI,"341,760","253,645","9,757"
27,91.0,PRAGATHI PRATHIBHA,TELUGU,DAILY(M),TIRUPATI,"50,256","60,370",0
28,92.0,PRAJASAKTI,TELUGU,DAILY(M),TIRUPATI,"547,493","577,727","232,372"
29,93.0,PRATAHKAALAM,TELUGU,DAILY(M),TIRUPATI,"12,468","302,510","31,299"
30,94.0,RAYALASEEMA SAMAYAM,TELUGU,DAILY(M),TIRUPATI,"243,556","510,902","50,249"
31,95.0,SAKSHI,TELUGU,DAILY(M),TIRUPATI,"1,221,608","1,337,753","377,857"
32,96.0,SARPANCH PALANA,TELUGU,FORTNIGHTLY,TIRUPATI,0,"5,174",0
33,97.0,SKYLINE,ENGLISH,DAILY(M),TIRUPATI,"196,250","194,734","15,780"
34,98.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),TIRUPATI,"488,644","283,659",0
35,99.0,THE HANS INDIA,ENGLISH,DAILY(M),TIRUPATI,"1,096,535","1,106,392","398,914"
36,100.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY EXCEPTSUNDAY,TIRUPATI,"415,259","196,921","166,255"
37,101.0,VIJAYABHANU,TELUGU,DAILY(M),TIRUPATI,"43,505",0,0
38,102.0,ANDHRA BHOOMI,TELUGU,DAILY(M),VIJAYAWADA,"80,991","209,974","20,194"
39,103.0,ANDHRA JYOTHI,TELUGU,DAILY(M),VIJAYAWADA,"3,901,532","2,634,865","1,342,013"
40,104.0,ANDHRA PRABHA,TELUGU,DAILY(M),VIJAYAWADA,"381,581","1,311,588","406,676"
41,105.0,ANDHRA VOICE,TELUGU,DAILY(E),VIJAYAWADA,"32,683","11,801",0
42,106.0,DECCAN CHRONICLE,ENGLISH,DAILY(M),VIJAYAWADA,"301,700","1,440,450","917,533"
43,107.0,NETI MANADESAM,TELUGU,DAILY(M),VIJAYAWADA,"115,367","70,640","4,541"
44,108.0,NEWS BOOM,ENGLISH,DAILY(M),VIJAYAWADA,"160,751","400,196","70,990"
45,109.0,PRAJASAKTI,TELUGU,DAILY(M),VIJAYAWADA,"227,473","637,322","242,084"
46,110.0,SAKSHI,TELUGU,DAILY(M),VIJAYAWADA,"8,504,626","4,430,222","1,963,233"
47,111.0,SKYLINE,ENGLISH,DAILY(M),VIJAYAWADA,"134,741","31,510","6,144"
