,TELEVISION,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
44,203.0,NORTH EAST LIVE,4833181,6450889,153164
45,204.0,O TV,25715598,18414953,4399778
46,205.0,ONKAR ONLY TRUTH,7645218,6504674,0
47,206.0,Orange TV,0,0,222595
48,207.0,OSCAR MOVIES BHOJPURI,8815330,9419536,0
49,208.0,PEPPERS TV,0,669633,0
50,209.0,Pix,290537,0,0
51,210.0,POGO,11146831,8401746,91661
0,212.0,Polimer News,0,0,1492429
1,213.0,prag channel,12124195,13441419,1795510
2,214.0,PRARTHANA,92606,1531412,0
3,215.0,Protidin Time,0,338433,238515
4,216.0,PTC Chak De,860786,1162616,0
5,217.0,PTC NEWS,8449786,15249997,3238374
6,218.0,PTC PUNJABI,9835804,11239489,2063257
7,219.0,PUBLIC TV,13249607,14488595,1467239
8,220.0,PUTHIYA THALAIMURAI TV,15425697,19662956,2025970
9,221.0,Raj Ditigal Plus,0,1760258,0
10,222.0,RAJ MUSIC KARNATAKA,1282117,1390991,235976
11,223.0,Raj Musix,1124134,1588489,296935
12,224.0,RAJ NEWS 24X7,2837565,2640477,0
13,225.0,Raj News Kannada,1425509,3046511,0
14,226.0,Raj News Telugu,63295,1043065,0
15,227.0,RAJ TV,2341906,1917725,631047
16,228.0,RAMDHENU,4420116,3200351,78900
17,229.0,Rang,19258587,17718034,1683355
18,230.0,Rengoni,0,94376,1446016
19,231.0,REPORTER TV,583478,184239,0
20,232.0,Republic TV,0,2754985,4679079
21,233.0,Republic TV Bharat,0,0,7160455
22,234.0,RPLUS,17116771,17083156,1123915
23,235.0,RUPASHI BANGLA,967180,1714092,47025
24,236.0,SAB TV,11042607,8824852,0
25,237.0,Sadhna Prime News,0,0,321722
26,238.0,SAHARA ONE,301778,294273,0
27,239.0,SAHARA SAMAY Bihar/Jharkhand,5750230,5554844,564927
28,240.0,SAHARA SAMAY MP/Chhattishgarh,10240388,2319417,96854
29,241.0,SAHARA SAMAY NCR/Haryana/Rajasthan/Punjab,3156698,227863,0
30,242.0,SAHARA SAMAY UP/Uttarakhand,9412614,2905250,24320
31,243.0,Sakshi TV,3395747,4077190,0
32,244.0,Samachar Plus Rajasthan,0,658008,368061
33,245.0,SAMAY,8314000,3049774,0
34,246.0,SANDESH NEWS,8903770,10975782,2157937
35,247.0,Sangeet Bangla,243375,2656595,0
36,248.0,SANGEET BHOJPURI,1258006,795860,0
37,249.0,Sangeet Marathi,0,0,348973
38,250.0,SANSKAR,2766920,2378571,0
39,251.0,SARTHAK TV,1107962,5381762,2764662
40,252.0,SATHIYAM TELEVISION,4286291,4570680,0
41,253.0,Seithigal,4537133,4462002,0
42,254.0,SET MAX,25002627,7573590,6703532
43,255.0,Sirippoli,0,1425913,0
44,256.0,SONIC,0,0,69072
45,257.0,SONY AATH,27045,0,0
46,258.0,SONY ENTERTAINMENT TELEVISION,28070910,8034667,0
47,259.0,SONY MIX,3019056,0,2617190
48,260.0,Sony Pal,0,3462967,13200586
49,261.0,SRI SANKARA TV,1532424,132877,0
50,262.0,STAR GOLD,10811414,3830671,193411
