SL NO,NEWSPAPER NAME,LANGUAGE,PERIODICITY,PUBLICATION CITY,2017-2018,2018-2019,2019-2020
24.0,NETAJI,TELUGU,DAILY(E),ELURU,"50,544","318,013","39,152"
25.0,ANDHRA JYOTHI,TELUGU,DAILY(M),GUNTUR,"898,534","1,474,083","631,593"
26.0,ANDHRA PRABHA,TELUGU,DAILY(M),GUNTUR,"733,851","2,345,252","809,770"
27.0,BHARATHASAKTHI,TELUGU,DAILY(M),GUNTUR,"5,867","49,783","7,796"
28.0,GOOD MORNING ANDHRA,ENGLISH,DAILY(M),GUNTUR,"441,495","595,639","98,238"
29.0,JOURNALIST NIGHAA,TELUGU,DAILY(M),GUNTUR,"31,784","186,611","6,143"
30.0,NANDI TIMES,TELUGU,DAILY(M),GUNTUR,0,"211,424","27,974"
31.0,NEETI DINA PATRIKA SURYA,TELUGU,DAILY(M),GUNTUR,"15,549",0,0
32.0,SAKSHI,TELUGU,DAILY(M),GUNTUR,"2,363,302","1,463,863","622,059"
33.0,SURYA,TELUGU,DAILY(M),GUNTUR,0,0,"7,588"
34.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),GUNTUR,"911,513","567,636","39,567"
35.0,ANDHRA JYOTHI,TELUGU,DAILY(M),KADAPA,"489,917","634,726","155,609"
36.0,BHARATHA SAKTHI,TELUGU,DAILY(M),KADAPA,"12,101","57,129","12,382"
37.0,RAYALASEEMA SAMAYAM,TELUGU,DAILY(M),KADAPA,"460,115","963,195","507,652"
38.0,SAKSHI,TELUGU,DAILY(M),KADAPA,"778,865","812,882","152,002"
39.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),KADAPA,"208,501","277,316","17,867"
40.0,SENA,TELUGU,DAILY(M),KAIKALURU,"3,417","15,360",0
41.0,ANDHRA JYOTHI,TELUGU,DAILY(M),KAKINADA,"810,342","991,090","46,194"
42.0,NETI ANDHRA,TELUGU,DAILY(M),KAKINADA,"583,334","695,386","453,970"
43.0,YERRA BAATA,TELUGU,MONTHLY,KAKINADA,0,"5,211",0
44.0,RAJANNARAJYAM,TELUGU,DAILY EXCEPTSUNDAY,KRISHNA DISTRICT,"30,786","271,068","50,848"
45.0,ANDHRA JYOTHI,TELUGU,DAILY(M),KURNOOL,"176,875","633,988","249,764"
46.0,ANDHRA PRABHA,TELUGU,DAILY(M),KURNOOL,0,0,"7,123"
47.0,NANDI TIMES,TELUGU,DAILY(M),KURNOOL,"148,577","328,829","51,381"
48.0,NEETI DINAPATRIKA SURYA,TELUGU,DAILY(M),KURNOOL,0,"26,484","32,904"
49.0,PRAJASAKTI,TELUGU,DAILY(M),KURNOOL,"537,677","559,854","262,549"
50.0,SAKSHI,TELUGU,DAILY(M),KURNOOL,"910,949","1,110,674","227,959"
51.0,TEL J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),KURNOOL,"150,035","515,111","44,551"
52.0,THE HANS INDIA,ENGLISH,DAILY(M),KURNOOL,"10,066","223,889","49,810"
53.0,VISALAANDHRA,TELUGU,DAILY(M),KURNOOL,"135,622","122,521","14,216"
54.0,VISHAYASUCHANA,TELUGU,DAILY(M),KURNOOL,"228,160","262,592","31,936"
55.0,ANDHRA BHOOMI,TELUGU,DAILY(M),NELLORE,"109,123","303,626","12,874"
56.0,ANDHRA JYOTHI,TELUGU,DAILY(M),NELLORE,"711,312","624,184","235,840"
57.0,ANDHRA PRABHA,TELUGU,DAILY(M),NELLORE,"252,104","578,530","157,995"
58.0,ANTHIMA THEERPU,TELUGU,MONTHLY,NELLORE,0,"55,958","13,173"
59.0,DECCAN CHRONICLE,ENGLISH,DAILY(M),NELLORE,"385,157","419,899","108,296"
60.0,PUNNAMI,TELUGU,DAILY(M),NELLORE,"67,480","12,623","4,541"
61.0,PUNNAMI,TELUGU,MONTHLY,NELLORE,"90,392","121,717","29,815"
62.0,RAYALASEEMA SAMAYAM,TELUGU,DAILY(M),NELLORE,"183,648","397,987","211,679"
64.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),NELLORE,"823,217","843,297","249,596"
65.0,ANDHRA JYOTHI,TELUGU,DAILY(M),ONGOLE,"246,881","670,471","135,801"
66.0,PRAJASAKTI,TELUGU,DAILY(M),ONGOLE,"219,805","771,666","193,058"
67.0,SAKSHI,TELUGU,DAILY(M),ONGOLE,"486,738","851,401","129,668"
68.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),ONGOLE,0,0,"12,920"
69.0,ANDHRA BHOOMI,TELUGU,DAILY(M),RAJAHMUNDRY,"132,656","128,788","24,146"
70.0,ANDHRA PRABHA,TELUGU,DAILY(M),RAJAHMUNDRY,"1,463,298","1,633,677","449,466"
71.0,DECCAN CHRONICLE,ENGLISH,DAILY(M),RAJAHMUNDRY,"422,498","567,068","182,940"
72.0,PRAJASAKTI,TELUGU,DAILY(M),RAJAHMUNDRY,"604,342","686,109","225,434"
73.0,RURAL TODAY,TELUGU,DAILY(M),RAJAHMUNDRY,"70,530","207,607","9,413"
74.0,SAKSHI,TELUGU,DAILY(M),RAJAHMUNDRY,"927,861","1,321,979","317,902"
75.0,SAMCHALANA V.P. LEADER,TELUGU,DAILY(M),RAJAHMUNDRY,"51,567","383,138","284,302"
76.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),RAJAHMUNDRY,"108,280","439,408","244,825"
77.0,ANDHRA JYOTHI,TELUGU,DAILY(M),SRIKAKULAM,"406,154","462,795","192,177"
78.0,NETI ANDHRA,TELUGU,DAILY(M),SRIKAKULAM,"513,999","937,198","293,928"
79.0,PRAJASAKTI,TELUGU,DAILY(M),SRIKAKULAM,"17,040","140,470","118,734"
80.0,SAKSHI,TELUGU,DAILY(M),SRIKAKULAM,"539,115","864,535","198,320"
81.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),SRIKAKULAM,"15,218","27,680",0
82.0,ANDHRA JYOTHI,TELUGU,DAILY(M),TADEPALLIGUDEM,"132,962","420,003","107,834"
83.0,SAKSHI,TELUGU,DAILY(M),TADEPALLIGUDEM,"523,919","814,717","122,617"
84.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),TADEPALLIGUDEM,"70,009","268,061","16,816"
85.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),THADEPALLIGUDEM,"32,316","159,378","116,368"
86.0,ANDHRA JYOTHI,TELUGU,DAILY(M),TIRUPATI,"971,164","1,076,050","563,655"
87.0,ANDHRA PRABHA,TELUGU,DAILY(M),TIRUPATI,"489,735","1,610,742","178,160"
88.0,GLOBAL NEWS,TELUGU,DAILY(M),TIRUPATI,"34,626","38,772","27,825"
89.0,NEETI DINA PATRIKA SURYA,TELUGU,DAILY(M),TIRUPATI,0,"39,506","60,885"
90.0,NETI MANA DESAM,TELUGU,DAILY(M),TIRUPATI,"341,760","253,645","9,757"
91.0,PRAGATHI PRATHIBHA,TELUGU,DAILY(M),TIRUPATI,"50,256","60,370",0
92.0,PRAJASAKTI,TELUGU,DAILY(M),TIRUPATI,"547,493","577,727","232,372"
93.0,PRATAHKAALAM,TELUGU,DAILY(M),TIRUPATI,"12,468","302,510","31,299"
94.0,RAYALASEEMA SAMAYAM,TELUGU,DAILY(M),TIRUPATI,"243,556","510,902","50,249"
95.0,SAKSHI,TELUGU,DAILY(M),TIRUPATI,"1,221,608","1,337,753","377,857"
96.0,SARPANCH PALANA,TELUGU,FORTNIGHTLY,TIRUPATI,0,"5,174",0
97.0,SKYLINE,ENGLISH,DAILY(M),TIRUPATI,"196,250","194,734","15,780"
98.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),TIRUPATI,"488,644","283,659",0
99.0,THE HANS INDIA,ENGLISH,DAILY(M),TIRUPATI,"1,096,535","1,106,392","398,914"
100.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY EXCEPTSUNDAY,TIRUPATI,"415,259","196,921","166,255"
101.0,VIJAYABHANU,TELUGU,DAILY(M),TIRUPATI,"43,505",0,0
102.0,ANDHRA BHOOMI,TELUGU,DAILY(M),VIJAYAWADA,"80,991","209,974","20,194"
103.0,ANDHRA JYOTHI,TELUGU,DAILY(M),VIJAYAWADA,"3,901,532","2,634,865","1,342,013"
104.0,ANDHRA PRABHA,TELUGU,DAILY(M),VIJAYAWADA,"381,581","1,311,588","406,676"
105.0,ANDHRA VOICE,TELUGU,DAILY(E),VIJAYAWADA,"32,683","11,801",0
106.0,DECCAN CHRONICLE,ENGLISH,DAILY(M),VIJAYAWADA,"301,700","1,440,450","917,533"
107.0,NETI MANADESAM,TELUGU,DAILY(M),VIJAYAWADA,"115,367","70,640","4,541"
108.0,NEWS BOOM,ENGLISH,DAILY(M),VIJAYAWADA,"160,751","400,196","70,990"
109.0,PRAJASAKTI,TELUGU,DAILY(M),VIJAYAWADA,"227,473","637,322","242,084"
110.0,SAKSHI,TELUGU,DAILY(M),VIJAYAWADA,"8,504,626","4,430,222","1,963,233"
111.0,SKYLINE,ENGLISH,DAILY(M),VIJAYAWADA,"134,741","31,510","6,144"
112.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),VIJAYAWADA,"625,338","794,527","107,410"
113.0,THE FOURTH VOICE,ENGLISH,DAILY(M),VIJAYAWADA,"65,457","527,282","447,322"
114.0,THE HANS INDIA,ENGLISH,DAILY(M),VIJAYAWADA,"724,030","614,059","177,378"
115.0,THE HINDU,ENGLISH,DAILY(M),VIJAYAWADA,"4,662,206","1,266,179","63,773"
116.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),VIJAYAWADA,"1,518,129","537,583","355,264"
117.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),VIJAYAWADA,"800,942","557,866","227,535"
118.0,UDAYA BHARATAM,TELUGU,DAILY(M),VIJAYAWADA,"270,941","580,732","77,264"
119.0,VIEWS OBSERVER,ENGLISH,DAILY(M),VIJAYAWADA,"190,282","147,190",0
120.0,VIJAYABHANU,TELUGU,DAILY(M),VIJAYAWADA,"891,053","401,351","4,541"
121.0,VISALAANDHRA,TELUGU,DAILY(E),VIJAYAWADA,"23,591","22,333","9,413"
122.0,ADHINETHA,TELUGU,MONTHLY,VISAKHAPATNAM,0,"80,199","45,243"
123.0,AKSHARA VIPLAVAM,TELUGU,DAILY(M),VISAKHAPATNAM,0,"142,678","62,099"
124.0,ANDHRA BHOOMI,TELUGU,DAILY(M),VISAKHAPATNAM,"58,086","179,066","40,715"
125.0,ANDHRA JYOTHI,TELUGU,DAILY(M),VISAKHAPATNAM,"3,258,941","2,233,509","841,462"
126.0,ANDHRA PRABHA,TELUGU,DAILY(M),VISAKHAPATNAM,"227,496","1,472,720","411,223"
127.0,CHAITANYA VAARADHI,TELUGU,DAILY(M),VISAKHAPATNAM,"48,834","33,205","29,407"
128.0,CITIZENS EVENING,ENGLISH,DAILY(E),VISAKHAPATNAM,0,"29,993",0
130.0,GRAMA DARSHINI,TELUGU,DAILY EXCEPTSUNDAY,VISAKHAPATNAM,"4,623","15,967",0
131.0,GREATER NEWS,TELUGU,DAILY EXCEPTSUNDAY,VISAKHAPATNAM,"19,554","118,387","6,377"
132.0,JANA JAGRUTHI,TELUGU,FORTNIGHTLY,VISAKHAPATNAM,0,"7,786","4,865"
133.0,JANAM JANA CHAITANYA MASAPATRIKA,TELUGU,MONTHLY,VISAKHAPATNAM,"51,712","22,006","19,032"
134.0,MANABHOOMI,TELUGU,DAILY(M),VISAKHAPATNAM,0,0,"13,371"
135.0,NETHAJI,TELUGU,DAILY(E),VISAKHAPATNAM,"37,913","62,670","29,271"
136.0,NETI ANDHRA,TELUGU,DAILY(M),VISAKHAPATNAM,"287,218","534,742","264,767"
137.0,NETI MANADESAM,TELUGU,DAILY(M),VISAKHAPATNAM,"61,441","37,071","9,883"
138.0,PRAJA PALANA,TELUGU,DAILY(M),VISAKHAPATNAM,0,"53,385","63,402"
139.0,PRAJASAKTI,TELUGU,DAILY(M),VISAKHAPATNAM,"522,179","632,579","334,969"
140.0,PRATAHKAALAM,TELUGU,DAILY(M),VISAKHAPATNAM,0,"72,970","84,094"
141.0,SAKSHI,TELUGU,DAILY(M),VISAKHAPATNAM,"4,730,964","3,850,763","1,981,279"
142.0,SAMCHALANA V.P.LEADER,TELUGU,DAILY(M),VISAKHAPATNAM,"386,160","356,074","186,065"
143.0,SANSKRUT BHASA,SANSKRIT,FORTNIGHTLY,VISAKHAPATNAM,0,"7,786","6,467"
144.0,SKYLINE,ENGLISH,DAILY(M),VISAKHAPATNAM,"104,371","59,096","17,708"
145.0,STANDARD POST,ENGLISH,DAILY(M),VISAKHAPATNAM,"346,662","144,229","69,937"
146.0,SUCCESS NEWS,TELUGU,MONTHLY,VISAKHAPATNAM,"4,955","40,473","9,179"
147.0,SUPADHA,TELUGU,DAILY(M),VISAKHAPATNAM,"4,623","32,918","16,985"
148.0,SWATANTRA VAARTHA,HINDI,DAILY(M),VISAKHAPATNAM,"229,635","428,510","52,494"
149.0,TEL.J.D.PATRIKA VAARTHA,TELUGU,DAILY(M),VISAKHAPATNAM,"438,698","342,116",0
150.0,THE HANS INDIA,ENGLISH,DAILY(M),VISAKHAPATNAM,"299,288","317,919","142,022"
151.0,THE HINDU,ENGLISH,DAILY(M),VISAKHAPATNAM,"4,411,580","3,391,664","88,461"
152.0,THE HINDU BUSINESS LINE,ENGLISH,DAILY EXCEPTSUNDAY,VISAKHAPATNAM,"1,076,835","91,580",0
153.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),VISAKHAPATNAM,"873,666","784,883","583,084"
154.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),VISAKHAPATNAM,0,"259,892","448,958"
155.0,VIEWS OBSERVER,ENGLISH,DAILY(M),VISAKHAPATNAM,"179,349","147,526","31,719"
156.0,VIJAYA BAVUTAA,TELUGU,FORTNIGHTLY,VISAKHAPATNAM,0,"23,425",0
157.0,VIJAYABHANU,TELUGU,DAILY(M),VISAKHAPATNAM,"686,404","1,436,921","311,980"
158.0,VISAKHA SAMACHARAM,TELUGU,DAILY(M),VISAKHAPATNAM,"375,353","544,183","109,228"
159.0,VISALAANDHRA (VIJAYAWADA),TELUGU,DAILY(E),VISAKHAPATNAM,"39,165","188,343","40,513"
160.0,BAKTHI SAMACHARAM,TELUGU,MONTHLY,VIZIANAGARAM,0,"5,211",0
161.0,GRAMINA VEDIKA,TELUGU,DAILY(M),VIZIANAGARAM,"354,144","284,095",0
162.0,NETI ANDHRA,TELUGU,DAILY(M),VIZIANAGARAM,"288,018","611,158","199,049"
163.0,ARUNACHAL FRONT,ENGLISH,DAILY(M),ITANAGAR,"2,590,146","4,295,739","2,063,040"
164.0,EASTERN SENTINEL,ENGLISH,DAILY(M),ITANAGAR,"4,282,998","2,071,491","1,116,556"
165.0,ECHO OF ARUNACHAL,ENGLISH,DAILY(M),ITANAGAR,"1,580,593","3,562,822","1,353,917"
166.0,INDEPENDENT REVIEW,ENGLISH,DAILY(M),ITANAGAR,"1,923,466","849,361","422,692"
167.0,KHABAR MORCHA,HINDI,DAILY(M),ITANAGAR,"962,086","621,163","18,203"
168.0,THE ARUNACHAL PIONEER,ENGLISH,DAILY(M),ITANAGAR,"1,850,641","1,624,850","130,015"
169.0,THE ARUNACHAL TIMES,ENGLISH,DAILY(M),ITANAGAR,"475,616","2,045,256","946,165"
170.0,THE DAWNLIT POST,ENGLISH,DAILY(M),ITANAGAR,"3,179,830","2,078,805","840,327"
171.0,SANSEYARI BODOLANDENGKHONG,BODO,DAILY(M),BIJNI,"214,064","1,098,876","453,969"
172.0,THE BODOLAND EXPRESS,ENGLISH,DAILY(M),BIJNI,"158,084","1,046,675","583,968"
173.0,ASOMIYA PRATIDIN,ASSAMESE,DAILY(M),BONGAIGAON,"642,187","645,876","173,394"
174.0,ASOM SPANDAN,ASSAMESE,WEEKLY,DIBRUGARH,"3,635","7,786","29,511"
175.0,ASOMIYA PRATIDIN,ASSAMESE,DAILY(M),DIBRUGARH,"3,050,369","1,713,517","485,152"
176.0,DAINIK JUGASANKHA,BENGALI,DAILY(M),DIBRUGARH,"691,670",0,0
177.0,SOLANGDO,ASSAMESE,DAILY(M),DIPHU,0,0,"145,680"
178.0,THE HILLS TIMES,ENGLISH,DAILY(M),DIPHU,"990,510","1,228,544","236,696"
179.0,THEKAR,KARBI,DAILY(M),DIPHU,"668,204","304,313","78,777"
180.0,AALOK PRAVANJYAN,ASSAMESE,BI-WEEKLY,GUWAHATI,0,"9,344","11,803"
181.0,AAMI ASOMOR JANAGAN,ASSAMESE,DAILY(M),GUWAHATI,"1,217,368","1,101,039","357,338"
182.0,AMAR ASOM,ASSAMESE,DAILY(M),GUWAHATI,"1,337,148","1,508,776","671,474"
183.0,ANDAZ E BAYAN,URDU,DAILY(M),GUWAHATI,"1,162,043","1,337,545","184,609"
184.0,ASOMIYA KHABAR,ASSAMESE,DAILY(M),GUWAHATI,"2,912,378","2,108,629","646,883"
185.0,ASOMIYA PRATIDIN,ASSAMESE,DAILY(M),GUWAHATI,"10,190,584","4,017,482","823,010"
186.0,ASSAM TRIBUNE,ENGLISH,DAILY(M),GUWAHATI,"9,461,958","4,778,031","2,016,555"
187.0,BANGLA MORCHA,HINDI,DAILY(M),GUWAHATI,"675,981","819,770","144,181"
188.0,BATORI KAKAT,ASSAMESE,DAILY(M),GUWAHATI,"104,745","793,630","111,234"
189.0,DAINANDIN BARTA,ASSAMESE,DAILY(M),GUWAHATI,"1,371,085","777,482","325,420"
191.0,DAINIK JANAMBHUMI,ASSAMESE,DAILY(M),GUWAHATI,"235,021","314,116","122,498"
192.0,DAINIK JUGASANKHA,BENGALI,DAILY(M),GUWAHATI,"741,762","1,871,733","770,763"
193.0,DAINIK PURVODAY,HINDI,DAILY(M),GUWAHATI,0,"126,600","110,943"
194.0,EASTERN CHRONICLE,ENGLISH,DAILY(M),GUWAHATI,"770,766","1,531,267","839,285"
195.0,ECLECTIC NORTHEAST,ENGLISH,MONTHLY,GUWAHATI,"107,220","250,731","92,808"
196.0,GANA ADHIKAR,ASSAMESE,DAILY(M),GUWAHATI,"907,750","1,005,571","302,165"
197.0,ICHEMMA,MANIPURI,MONTHLY,GUWAHATI,0,"104,018","17,348"
198.0,NISHPAKSH SAMACHAR JYOTI,HINDI,DAILY(M),GUWAHATI,0,"112,746","95,409"
199.0,NIYOMIYA BARTA,ASSAMESE,DAILY(M),GUWAHATI,"3,607,826","2,852,651","1,498,703"
200.0,NORTH EAST TIMES,ENGLISH,DAILY(M),GUWAHATI,"205,670","263,451","207,393"
201.0,PRATA KHABAR,HINDI,DAILY(M),GUWAHATI,"1,337,721","659,559","86,423"
202.0,PURVANCHAL PRAHARI,HINDI,DAILY(M),GUWAHATI,"625,240","849,633","288,190"
203.0,SENTINEL,HINDI,DAILY(M),GUWAHATI,"1,008,220","1,036,216","179,628"
204.0,SENTINEL,ENGLISH,DAILY(M),GUWAHATI,"13,345,298","10,367,773","4,256,359"
205.0,THE ASSAM POST,ENGLISH,DAILY(M),GUWAHATI,"76,617",0,0
206.0,THE TELEGRAPH (KOLKATA),ENGLISH,DAILY(M),GUWAHATI,"1,371,625","618,391",0
207.0,AMAR ASOM,ASSAMESE,DAILY(M),JORHAT,"927,310","1,412,908","837,831"
208.0,ASOMIYA KHABHAR,ASSAMESE,DAILY(M),JORHAT,"954,098","686,941","314,443"
209.0,DAINIK JANAMBHOOMI,ASSAMESE,DAILY(M),JORHAT,"1,177,534","1,021,271","342,482"
210.0,DAINIK PURVODAY,HINDI,DAILY(M),JORHAT,"13,906","347,005",0
211.0,PURVANCHAL PRAHARI,HINDI,DAILY(M),JORHAT,0,"218,297","52,614"
212.0,THE JANAMBHUMI,ASSAMESE,WEEKLY,JORHAT,0,"42,958","13,772"
213.0,CHALLENGER BARTA,ENGLISH,WEEKLY,KARIMGANJ,0,"5,946",0
214.0,NABABARTA PRASANGA,BENGALI,DAILY(M),KARIMGANJ,"588,882","2,480,896","876,017"
215.0,SACHETAN,BENGALI,WEEKLY,KARIMGANJ,0,"5,616","7,091"
216.0,BODOSA,BODO,DAILY(M),KOKRAJHAR,0,"532,133","394,720"
217.0,HAYENNI RADAB,BODO,DAILY(M),KOKRAJHAR,0,"372,103","223,549"
218.0,ASOMIYA PRATIDIN,ASSAMESE,DAILY(M),LAKHIMPUR,"499,002","451,431","146,569"
219.0,PURVANCHAL PRAHARI,HINDI,DAILY(M),LAKHIMPUR,0,"164,113","147,715"
220.0,AMAR ASOM,ASSAMESE,DAILY(M),NORTH LAKHIMPUR,0,"168,640","143,676"
221.0,ABICHAR,BENGALI,WEEKLY,SILCHAR,0,"6,496","13,077"
222.0,AMAR UTTAR PURBANCHAL,BENGALI,FORTNIGHTLY,SILCHAR,0,"7,388","13,077"
223.0,DAINIK ABICHAR,BENGALI,DAILY(M),SILCHAR,"486,102","1,929,630","1,155,142"
224.0,EASTERN CHRONICLE,ENGLISH,DAILY(M),SILCHAR,"2,594,340","2,642,414","699,757"
225.0,GATI,BENGALI,DAILY(M),SILCHAR,"91,865",0,0
226.0,JUGASANKHA,BENGALI,DAILY(M),SILCHAR,"7,643,113","2,854,324","1,038,042"
227.0,PRANTAJYOTI DAINIK,BENGALI,DAILY(M),SILCHAR,"321,129","815,361","336,937"
228.0,SAMAYIK PRASANGA,BENGALI,DAILY(M),SILCHAR,"1,242,778","2,465,630","1,120,812"
229.0,SIMANTER PRAHARI,BENGALI,TRI-WEEKLY,SILCHAR,0,"5,732","11,803"
230.0,KHABAR PRABAH,ASSAMESE,DAILY(M),SONITPUR,"452,683","254,332",0
231.0,HAMRO PRAJASHAKTI,NEPALI,DAILY(M),TEZPUR,"557,554","1,425,304","310,339"
232.0,AKELA,HINDI,WEEKLY,TINSUKIA,0,"3,893","9,837"
233.0,THE DAINIK JANAMBHUMI,ASSAMESE,DAILY(M),TINSUKIA,"548,091","503,384","254,482"
234.0,NAV BIHAR TIMES,HINDI,DAILY(M),AURANGABAD,"658,776","2,490,826","1,023,241"
235.0,SON VARSHA VANI,HINDI,DAILY(M),AURANGABAD,"774,035","1,811,701","764,356"
236.0,SAFA TIMES,URDU,DAILY(M),BETIYA,"537,274","283,092","45,630"
237.0,ANG BHARAT,HINDI,DAILY(M),BHAGALPUR,"156,614","1,012,433","1,239,433"
238.0,DAINIK BHASKAR,HINDI,DAILY(M),BHAGALPUR,0,"1,335,838","934,553"
239.0,DAINIK JAGRAN,HINDI,DAILY(M),BHAGALPUR,"10,393,316","6,004,235","2,067,732"
240.0,DESH BIDESH,URDU,DAILY(M),BHAGALPUR,"65,108","13,156","9,413"
241.0,HINDUSTAN,HINDI,DAILY(M),BHAGALPUR,"7,236,301","5,534,096","1,362,027"
242.0,MISSILE EXPRESS,URDU,DAILY(M),BHAGALPUR,"47,202","93,409","6,143"
243.0,NAI BAAT,HINDI,DAILY(M),BHAGALPUR,"103,200","7,383",0
244.0,PRABHAT KHABAR,HINDI,DAILY(M),BHAGALPUR,"3,293,058","3,070,011","968,434"
245.0,PRATAH SANDESH,HINDI,DAILY(M),DARBHANGA,"846,757","2,052,044","430,243"
246.0,DAINIK JAGRAN,HINDI,DAILY(M),GAYA,"987,315","1,510,792","580,989"
247.0,HINDUSTAN,HINDI,DAILY(M),GAYA,"1,567,350","1,522,130","439,874"
248.0,PRABHAT KHABAR,HINDI,DAILY(M),GAYA,"2,256,535","2,104,618","693,616"
249.0,ANUGAMINI,HINDI,DAILY(M),HAJIPUR,0,"222,728","14,334"
250.0,DAINIK BHASKAR,HINDI,DAILY(M),MUZAFFARPUR,"81,925","1,452,262","1,147,782"
251.0,DAINIK JAGRAN,HINDI,DAILY(M),MUZAFFARPUR,"7,078,457","6,795,244","2,385,243"
252.0,GARAM HAWA,URDU,DAILY(M),MUZAFFARPUR,"88,333","712,834","197,306"
253.0,HAKIKAT TIMES,URDU,DAILY(M),MUZAFFARPUR,"502,866","1,240,721","256,542"
254.0,HINDUSTAN,HINDI,DAILY(M),MUZAFFARPUR,"7,843,577","5,446,413","1,468,937"
255.0,NIRMAN BHARTI,HINDI,FORTNIGHTLY,MUZAFFARPUR,0,"6,496","6,467"
257.0,PRATAH KAMAL,HINDI,DAILY(M),MUZAFFARPUR,"2,385,577","1,014,893",0
258.0,TAASIR,URDU,DAILY(M),MUZAFFARPUR,"1,177,514","1,434,108","370,231"
259.0,URDU AKASH,URDU,DAILY(M),MUZAFFARPUR,"105,686","271,097","12,925"
260.0,SIYASI PAIGHAM,URDU,DAILY(M),NALANDA,"1,195,317","1,348,592","256,531"
261.0,AALOK ALKAPURI,HINDI,DAILY(M),PATNA,0,"6,143",0
262.0,AAWAMI NEWS,URDU,DAILY(M),PATNA,"580,475","669,220","211,634"
263.0,AJ,HINDI,DAILY(M),PATNA,"8,901,372","4,111,198","1,598,613"
264.0,AL WATAN TIMES,URDU,DAILY(M),PATNA,0,"73,749","55,112"
265.0,AL-MOMIN,URDU,DAILY(M),PATNA,"2,890","48,607","21,692"
266.0,AMAN CHAIN,URDU,DAILY(M),PATNA,"34,665","119,282","28,608"
267.0,AMAN CHAIN,URDU,WEEKLY,PATNA,0,"7,789",0
268.0,AMIN,URDU,DAILY(M),PATNA,"158,838","435,116","139,307"
